Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,3.9746,4.01,3.9746,4.01,4.01,1243973
2019-05-15,4.0314,4.0314,3.9845,4.0059,4.0059,976879
2019-05-16,3.9935,4.0298,3.9828,4.0284,4.0284,1883978
2019-05-17,3.9511,3.9629,3.9273,3.9533,3.9533,1318176
2019-05-20,3.9458,3.95,3.8965,3.9128,3.9128,6724076
2019-05-21,3.9467,3.9473,3.9218,3.9389,3.9389,1122229
2019-05-22,3.9457,3.9565,3.9296,3.9438,3.9438,574565
2019-05-23,3.9036,3.9084,3.8814,3.895,3.895,2941462
2019-05-24,3.8976,3.9084,3.8699,3.8778,3.8778,1084811
2019-05-27,3.8988,3.9029,3.8866,3.8947,3.8947,511319
2019-05-28,3.9113,3.9172,3.8857,3.8995,3.8995,514872
2019-05-29,3.8779,3.9091,3.8744,3.9066,3.9066,1149948
2019-05-30,3.9425,3.965,3.9351,3.9563,3.9563,830288
2019-05-31,3.9286,3.9665,3.9063,3.9626,3.9626,272133
2019-06-03,3.974,3.9916,3.9643,3.985,3.985,792421
2019-06-04,3.9253,3.9636,3.9253,3.9636,3.9636,769617
2019-06-05,3.947,3.9725,3.926,3.9365,3.9365,573434
2019-06-06,3.9382,3.9544,3.9165,3.9215,3.9215,790500
2019-06-07,3.9351,3.9669,3.9237,3.9485,3.9485,542285
2019-06-10,3.975,3.999,3.975,3.999,3.999,1013813
2019-06-11,4.0123,4.0449,4.0108,4.0317,4.0317,1236528
2019-06-12,3.9992,4.0065,3.9935,3.9942,3.9942,387826
2019-06-13,3.983,4.0167,3.983,3.9965,3.9965,620167
2019-06-14,3.982,3.9943,3.9782,3.9943,3.9943,625711
2019-06-17,3.9924,3.9959,3.974,3.9888,3.9888,484697
2019-06-18,4.0008,4.1048,3.9934,4.0961,4.0961,1539849
2019-06-19,4.1042,4.11,4.0873,4.0917,4.0917,582135
2019-06-20,4.1332,4.176,4.133,4.1525,4.1525,3067812
2019-06-21,4.1291,4.1341,4.1193,4.1333,4.1333,969377
2019-06-24,4.1145,4.1154,4.0961,4.1055,4.1055,520136
2019-06-25,4.0802,4.09,4.0726,4.0849,4.0849,671939
2019-06-26,4.0811,4.113,4.077,4.103,4.103,3162237
2019-06-27,4.1355,4.1387,4.1151,4.1219,4.1219,870556
2019-06-28,4.1212,4.1318,4.1094,4.1159,4.1159,1598134
2019-07-01,4.1974,4.2103,4.1885,4.1979,4.1979,719862
2019-07-02,4.1933,4.1958,4.1796,4.1889,4.1889,427081
2019-07-03,4.1673,4.18,4.1656,4.1788,4.1788,845621
2019-07-04,4.1915,4.2074,4.1856,4.2044,4.2044,399075
2019-07-05,4.1899,4.196,4.1635,4.1801,4.1801,732048
2019-07-08,4.1406,4.1605,4.1339,4.1594,4.1594,2193495
2019-07-09,4.131,4.1475,4.1236,4.146,4.146,600792
2019-07-10,4.1465,4.1864,4.1394,4.1678,4.1678,337868
2019-07-11,4.18,4.1855,4.1524,4.1602,4.1602,868424
2019-07-12,4.1582,4.1684,4.1476,4.1559,4.1559,581474
2019-07-15,4.171,4.1823,4.1608,4.1782,4.1782,630265
2019-07-16,4.1896,4.21,4.1891,4.201,4.201,409729
2019-07-17,4.1944,4.1944,4.169,4.1759,4.1759,3043634
2019-07-18,4.1623,4.1823,4.1566,4.1741,4.1741,564937
2019-07-19,4.2018,4.2114,4.1938,4.1981,4.1981,900146
2019-07-22,4.1743,4.1917,4.1704,4.1871,4.1871,333027
2019-07-23,4.198,4.2118,4.1965,4.2057,4.2057,1005454
2019-07-24,4.2144,4.2175,4.2062,4.2175,4.2175,401868
2019-07-25,4.2269,4.2471,4.1669,4.1892,4.1892,309635
2019-07-26,4.1952,4.204,4.188,4.1961,4.1961,576432
2019-07-29,4.1697,4.19,4.1683,4.1721,4.1721,256191
2019-07-30,4.1851,4.1856,4.1403,4.1465,4.1465,570511
2019-07-31,4.1353,4.1494,4.1351,4.1421,4.1421,182862
2019-08-01,4.1422,4.1596,4.1354,4.1573,4.1573,643072
2019-08-02,4.0443,4.0443,3.9852,3.9889,3.9889,1599421
2019-08-05,3.9266,3.9282,3.8367,3.8367,3.8367,1173553
2019-08-06,3.8588,3.8961,3.846,3.846,3.846,957156
2019-08-07,3.8738,3.892,3.803,3.8351,3.8351,1074646
2019-08-08,3.9018,3.9204,3.89,3.9183,3.9183,1200525
2019-08-09,3.9257,3.9257,3.8771,3.8796,3.8796,172737
2019-08-12,3.912,3.9173,3.8321,3.8394,3.8394,175709
2019-08-13,3.8296,3.9226,3.799,3.8968,3.8968,365642
2019-08-14,3.8845,3.8845,3.8153,3.8264,3.8264,488286
2019-08-15,3.846,3.848,3.7897,3.8412,3.8412,838879
2019-08-16,3.8799,3.8985,3.8799,3.8976,3.8976,83155
2019-08-19,3.9479,3.9504,3.9184,3.9288,3.9288,483816
2019-08-20,3.9436,3.9495,3.93,3.9314,3.9314,545294
2019-08-21,3.9536,3.958,3.9474,3.9518,3.9518,300939
2019-08-22,3.9363,3.9412,3.9073,3.9124,3.9124,1137203
2019-08-23,3.9432,3.951,3.8583,3.8583,3.8583,996303
2019-08-26,3.849,3.8788,3.8403,3.8666,3.8666,456672
2019-08-27,3.8612,3.9007,3.85,3.8874,3.8874,426618
2019-08-28,3.8738,3.8907,3.8622,3.8907,3.8907,419352
2019-08-29,3.8662,3.9344,3.8662,3.9344,3.9344,299426
2019-08-30,3.9488,3.9846,3.9488,3.9846,3.9846,168599
2019-09-02,3.9892,4.0053,3.9872,3.9872,3.9872,164873
2019-09-03,3.97,3.9789,3.9667,3.9775,3.9775,547305
2019-09-04,4.0188,4.0336,4.0067,4.0219,4.0219,190862
2019-09-05,4.0541,4.07,4.0444,4.0698,4.0698,494457
2019-09-06,4.0749,4.0958,4.0728,4.092,4.092,394902
2019-09-09,4.0988,4.1033,4.0881,4.0997,4.0997,260664
2019-09-10,4.085,4.0973,4.074,4.0836,4.0836,215071
2019-09-11,4.1017,4.1437,4.1012,4.1437,4.1437,194779
2019-09-12,4.1537,4.195,4.1393,4.1551,4.1551,729483
2019-09-13,4.1465,4.1771,4.1441,4.1695,4.1695,1958707
2019-09-16,4.1295,4.181,4.1261,4.1759,4.1759,526267
2019-09-17,4.1349,4.1359,4.1124,4.1329,4.1329,498686
2019-09-18,4.1333,4.1404,4.1241,4.1241,4.1241,279280
2019-09-19,4.11,4.1367,4.1053,4.1347,4.1347,570304
2019-09-20,4.1307,4.1575,4.1247,4.153,4.153,249962
2019-09-23,4.1395,4.1436,4.1223,4.1367,4.1367,444644
2019-09-24,4.1337,4.1418,4.1055,4.1071,4.1071,910654
2019-09-25,4.0822,4.1017,4.0603,4.1017,4.1017,551726
2019-09-26,4.1088,4.1282,4.1027,4.1088,4.1088,230193
2019-09-27,4.1148,4.124,4.1089,4.1218,4.1218,374020
2019-09-30,4.1035,4.1135,4.0993,4.1114,4.1114,679804
2019-10-01,4.12,4.1244,4.0665,4.0719,4.0719,262810
2019-10-02,4.0618,4.0622,4.0111,4.0111,4.0111,449577
2019-10-03,4.0453,4.0533,4.01,4.0371,4.0371,1228644
2019-10-04,4.0405,4.0619,4.0297,4.0619,4.0619,347783
2019-10-07,4.0554,4.0654,4.0471,4.055,4.055,194754
2019-10-08,4.0758,4.0762,4.0212,4.0301,4.0301,245232
2019-10-09,4.0299,4.0576,4.0287,4.0464,4.0464,437312
2019-10-10,4.0418,4.0829,4.0301,4.0829,4.0829,726119
2019-10-11,4.0993,4.1533,4.0993,4.1533,4.1533,521482
2019-10-14,4.1346,4.14,4.109,4.1256,4.1256,714489
2019-10-15,4.1316,4.15,4.1299,4.1454,4.1454,452859
2019-10-16,4.1298,4.1467,4.1274,4.14,4.14,376344
2019-10-17,4.1437,4.163,4.1431,4.147,4.147,343270
2019-10-18,4.1307,4.1351,4.1239,4.1239,4.1239,690198
2019-10-21,4.12,4.1364,4.117,4.128,4.128,300770
2019-10-22,4.1502,4.1672,4.1439,4.1633,4.1633,154955
2019-10-23,4.145,4.1569,4.1358,4.1548,4.1548,410103
2019-10-24,4.1649,4.1906,4.1642,4.1906,4.1906,391890
2019-10-25,4.1765,4.2036,4.167,4.2036,4.2036,116056
2019-10-28,4.2094,4.2342,4.2094,4.2324,4.2324,105186
2019-10-29,4.218,4.22,4.2,4.2084,4.2084,154515
2019-10-30,4.1949,4.205,4.1861,4.1959,4.1959,399137
2019-10-31,4.2042,4.2065,4.1631,4.1631,4.1631,452244
2019-11-01,4.1984,4.2345,4.1984,4.2199,4.2199,103088
2019-11-04,4.2672,4.2911,4.261,4.2809,4.2809,743487
2019-11-05,4.3025,4.3323,4.3025,4.3277,4.3277,357619
2019-11-06,4.323,4.3409,4.32,4.3362,4.3362,366665
2019-11-07,4.3466,4.3723,4.3466,4.3685,4.3685,437809
2019-11-08,4.3382,4.3494,4.3287,4.3414,4.3414,2220916
2019-11-11,4.269,4.2949,4.2669,4.2905,4.2905,481887
2019-11-12,4.3083,4.3083,4.2882,4.2925,4.2925,703124
2019-11-13,4.2621,4.2627,4.23,4.2491,4.2491,208292
2019-11-14,4.2439,4.2585,4.2399,4.2418,4.2418,184125
2019-11-15,4.2637,4.2796,4.2553,4.2796,4.2796,336892
2019-11-18,4.2861,4.2861,4.2556,4.2651,4.2651,2764562
2019-11-19,4.284,4.303,4.256,4.2634,4.2634,1258153
2019-11-20,4.2558,4.2656,4.2493,4.2614,4.2614,1163929
2019-11-21,4.2128,4.2292,4.2043,4.2263,4.2263,332439
2019-11-22,4.2429,4.2564,4.2429,4.247,4.247,11118838
2019-11-25,4.2881,4.3039,4.288,4.2969,4.2969,332971
2019-11-26,4.2893,4.2893,4.2615,4.2668,4.2668,2631508
2019-11-27,4.293,4.2963,4.2782,4.2853,4.2853,237000
2019-11-28,4.2835,4.287,4.2726,4.2813,4.2813,101019
2019-11-29,4.2321,4.2528,4.2263,4.2263,4.2263,181209
2019-12-02,4.2376,4.248,4.19,4.19,4.19,768836
2019-12-03,4.2082,4.2134,4.1449,4.1534,4.1534,1198587
2019-12-04,4.1728,4.2135,4.17,4.2051,4.2051,1436033
2019-12-05,4.2177,4.22,4.2036,4.2156,4.2156,5234438
2019-12-06,4.2376,4.268,4.2348,4.2606,4.2606,125359
2019-12-09,4.2656,4.268,4.2531,4.2547,4.2547,3940242
2019-12-10,4.25,4.2544,4.2241,4.2448,4.2448,404474
2019-12-11,4.2732,4.2826,4.2653,4.2826,4.2826,377027
2019-12-12,4.3124,4.3685,4.294,4.35,4.35,5050724
2019-12-13,4.3777,4.4068,4.3602,4.364,4.364,744731
2019-12-16,4.3824,4.4117,4.3811,4.4117,4.4117,1922030
2019-12-17,4.4338,4.4403,4.4238,4.431,4.431,2569611
2019-12-18,4.4492,4.4694,4.4492,4.4618,4.4618,3404661
2019-12-19,4.4626,4.4683,4.4542,4.4683,4.4683,2160165
2019-12-20,4.4689,4.5072,4.4689,4.5072,4.5072,1518073
2019-12-23,4.4925,4.5082,4.4884,4.5017,4.5017,676394
2019-12-24,4.5251,4.5251,4.5048,4.5077,4.5077,3720580
2019-12-25,4.5077,4.5077,4.5077,4.5077,4.5077,0
2019-12-27,4.543,4.5503,4.5135,4.5257,4.5257,10765133
2019-12-30,4.5198,4.5215,4.4884,4.4912,4.4912,372811
2019-12-31,4.4788,4.4845,4.4647,4.4676,4.4676,317817
2020-01-02,4.513,4.5672,4.5109,4.5526,4.5526,880959
2020-01-03,4.5246,4.54,4.5059,4.5252,4.5252,335808
2020-01-06,4.4844,4.4861,4.4582,4.4861,4.4861,8134699
2020-01-07,4.5025,4.5148,4.49,4.5102,4.5102,1356657
2020-01-08,4.4861,4.5234,4.4849,4.5234,4.5234,160791
2020-01-09,4.5847,4.5936,4.5683,4.5798,4.5798,1069272
2020-01-10,4.5934,4.6134,4.59,4.5962,4.5962,4877942
2020-01-13,4.6279,4.6385,4.6162,4.6289,4.6289,3260874
2020-01-14,4.6129,4.6408,4.6044,4.621,4.621,610182
