Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,50.0,50.0,50.0,50.0,50.0,0
2019-05-15,50.300201,50.300201,50.300201,50.300201,50.300201,0
2019-05-16,50.369999,50.369999,50.369999,50.93,50.93,1
2019-05-17,50.93,50.93,50.93,50.93,50.93,0
2019-05-20,50.93,50.93,50.93,50.93,50.93,0
2019-05-21,50.93,50.93,50.93,50.93,50.93,0
2019-05-22,50.490002,50.490002,50.490002,50.48,50.48,10000
2019-05-23,50.48,50.48,50.48,50.48,50.48,0
2019-05-24,50.48,50.48,50.48,50.48,50.48,0
2019-05-28,50.48,50.48,50.48,50.48,50.48,0
2019-05-29,50.48,50.48,50.48,50.48,50.48,0
2019-05-30,50.48,50.48,50.48,50.48,50.48,0
2019-05-31,50.48,50.48,50.48,50.48,50.48,0
2019-06-03,48.57,48.57,48.57,48.689999,48.689999,117
2019-06-04,49.009998,49.009998,49.009998,49.240002,49.240002,500
2019-06-05,49.549999,49.549999,49.549999,49.740002,49.740002,1700
2019-06-06,50.189999,50.189999,50.189999,50.084999,50.084999,100
2019-06-07,50.5,50.5,50.380001,50.799999,50.799999,1909
2019-06-10,50.799999,50.799999,50.799999,50.799999,50.799999,0
2019-06-11,50.799999,50.799999,50.799999,50.799999,50.799999,0
2019-06-12,50.799999,50.799999,50.799999,50.799999,50.799999,0
2019-06-13,50.799999,50.799999,50.799999,50.799999,50.799999,0
2019-06-14,51.0,51.040001,51.0,50.994999,50.994999,2203
2019-06-17,51.18,51.18,51.18,51.139999,51.139999,75
2019-06-18,51.200001,51.200001,51.200001,51.650002,51.650002,160
2019-06-19,51.650002,51.650002,51.650002,51.650002,51.650002,0
2019-06-20,51.650002,51.650002,51.650002,51.650002,51.650002,0
2019-06-21,51.650002,51.650002,51.650002,51.650002,51.650002,0
2019-06-24,52.23,52.23,52.23,52.195,52.195,51
2019-06-25,52.195,52.195,52.195,52.195,52.195,0
2019-06-26,52.195,52.195,52.195,52.195,52.195,0
2019-06-27,51.720001,51.720001,51.650002,51.610001,51.610001,20200
2019-06-28,51.880001,51.880001,51.880001,51.830002,51.830002,15
2019-07-01,52.57,52.57,52.57,52.355,52.355,23
2019-07-02,52.41,52.41,52.41,52.415001,52.415001,600
2019-07-03,52.82,52.82,52.779999,52.805,52.805,4293
2019-07-04,52.805,52.805,52.805,52.805,52.805,0
2019-07-05,52.790001,52.790001,52.619999,52.575001,52.575001,5830
2019-07-08,52.615002,52.615002,52.615002,52.615002,52.615002,0
2019-07-09,53.009998,53.009998,53.009998,52.595001,52.595001,44
2019-07-10,53.029999,53.029999,53.029999,52.84,52.84,100
2019-07-11,53.060001,53.060001,53.060001,53.060001,53.060001,0
2019-07-12,53.189999,53.189999,53.189999,53.189999,53.189999,0
2019-07-15,53.380001,53.380001,53.380001,53.285,53.285,103
2019-07-16,53.244999,53.244999,53.244999,53.244999,53.244999,0
2019-07-17,52.974998,52.974998,52.974998,52.974998,52.974998,0
2019-07-18,52.674999,52.674999,52.674999,52.674999,52.674999,0
2019-07-19,53.035,53.035,53.035,53.035,53.035,0
2019-07-22,52.810001,52.919998,52.810001,52.755001,52.755001,9000
2019-07-23,52.994999,52.994999,52.994999,52.994999,52.994999,0
2019-07-24,53.215,53.215,53.215,53.215,53.215,0
2019-07-25,53.305,53.305,53.305,53.305,53.305,0
2019-07-26,53.490002,53.490002,53.490002,53.494999,53.494999,100
2019-07-29,53.5,53.5,53.5,53.509998,53.509998,58
2019-07-30,53.389999,53.389999,53.389999,53.365002,53.365002,153
2019-07-31,53.404999,53.404999,53.404999,53.404999,53.404999,0
2019-08-01,52.799999,53.32,52.779999,53.330002,53.330002,224
2019-08-02,52.060001,52.110001,52.060001,51.735001,51.735001,196
2019-08-05,51.68,51.68,50.830002,50.830002,50.830002,505
2019-08-06,50.535,50.535,50.535,50.535,50.535,0
2019-08-07,50.5,50.5,50.5,50.575001,50.575001,5
2019-08-08,51.674999,51.674999,51.674999,51.674999,51.674999,0
2019-08-09,51.389999,51.389999,51.389999,51.389999,51.389999,0
2019-08-12,52.099998,52.099998,51.34,51.255001,51.255001,127
2019-08-13,51.869999,51.869999,51.869999,51.724998,51.724998,125
2019-08-14,50.709999,50.709999,50.709999,50.709999,50.709999,0
2019-08-15,50.0,50.610001,50.0,50.415001,50.415001,255
2019-08-16,51.134998,51.134998,51.134998,51.134998,51.134998,0
2019-08-19,51.778999,51.778999,51.778999,51.834999,51.834999,18456
2019-08-20,51.830002,51.830002,51.830002,51.724998,51.724998,35
2019-08-21,51.845001,51.845001,51.845001,51.845001,51.845001,0
2019-08-22,51.860001,51.860001,51.860001,51.615002,51.615002,100
2019-08-23,51.139999,51.139999,51.139999,51.064999,51.064999,11700
2019-08-27,51.0,51.080002,51.0,50.950001,50.950001,204
2019-08-28,50.939999,50.939999,50.939999,51.125,51.125,40
2019-08-29,51.779999,51.779999,51.779999,51.779999,51.779999,0
2019-08-30,51.715,51.715,51.715,51.715,51.715,0
2019-09-02,51.665001,51.665001,51.665001,51.665001,51.665001,0
2019-09-03,51.400002,51.400002,51.400002,51.470001,51.470001,10
2019-09-04,51.965,51.965,51.965,51.965,51.965,0
2019-09-05,52.779999,52.779999,52.779999,52.814999,52.814999,396
2019-09-06,52.91,52.919998,52.77,52.869999,52.869999,1522
2019-09-09,53.080002,53.080002,53.07,52.93,52.93,80
2019-09-10,52.650002,52.650002,52.610001,52.490002,52.490002,491
2019-09-11,52.939999,53.0,52.939999,52.994999,52.994999,80
2019-09-12,53.349998,53.459999,53.290001,53.424999,53.424999,60000
2019-09-13,53.549999,53.549999,53.540001,53.474998,53.474998,85
2019-09-16,53.09,53.130001,53.09,53.220001,53.220001,316
2019-09-17,53.169998,53.169998,53.169998,53.205002,53.205002,65
2019-09-18,53.23,53.23,53.23,53.18,53.18,225
2019-09-19,53.490002,53.619999,53.490002,53.575001,53.575001,2346
2019-09-20,53.43,53.43,53.43,53.415001,53.415001,295
2019-09-23,53.02,53.049999,53.02,53.099998,53.099998,50
2019-09-24,53.25,53.25,53.25,53.134998,53.134998,3
2019-09-25,52.77,52.77,52.77,52.77,52.77,0
2019-09-26,53.07,53.07,53.07,52.68,52.68,10000
2019-09-27,52.965,52.965,52.965,52.965,52.965,0
2019-09-30,53.080002,53.080002,52.709999,52.875,52.875,207
2019-10-01,53.02,53.02,53.0,52.610001,52.610001,11
2019-10-02,52.0,52.0,51.43,51.299999,51.299999,449
2019-10-03,51.580002,51.580002,51.580002,51.369999,51.369999,98
2019-10-04,51.580002,51.580002,51.580002,52.07,52.07,106
2019-10-07,52.220001,52.310001,52.220001,52.395,52.395,6
2019-10-08,51.830002,51.93,51.830002,51.52,51.52,10262
2019-10-09,51.77,52.0,51.700001,51.695,51.695,30032
2019-10-10,51.52,52.380001,51.52,52.325001,52.325001,462
2019-10-11,52.549999,52.799999,52.549999,53.099998,53.099998,173
2019-10-14,52.720001,52.720001,52.709999,52.724998,52.724998,124
2019-10-15,52.93,52.93,52.860001,53.27,53.27,6
2019-10-16,53.099998,53.240002,53.07,53.18,53.18,206
2019-10-17,53.285,53.285,53.285,53.285,53.285,0
2019-10-18,53.25,53.25,53.169998,53.185001,53.185001,1840
2019-10-21,53.259998,53.259998,53.25,53.365002,53.365002,374
2019-10-22,53.490002,53.490002,53.490002,53.490002,53.490002,0
2019-10-23,53.200001,53.200001,53.099998,53.34,53.34,4832
2019-10-24,53.52,53.560001,53.369999,53.474998,53.474998,465
2019-10-25,53.48,53.490002,53.43,53.77,53.77,1176
2019-10-28,53.98,54.029999,53.98,54.005001,54.005001,13116
2019-10-29,53.900002,54.07,53.900002,54.07,54.07,310
2019-10-30,54.080002,54.080002,54.080002,53.950001,53.950001,20
2019-10-31,54.540001,54.540001,53.84,53.82,53.82,11380
2019-11-01,54.355,54.355,54.355,54.355,54.355,0
2019-11-04,54.779999,54.779999,54.630001,54.744999,54.744999,120
2019-11-05,54.860001,54.860001,54.779999,54.669998,54.669998,66
2019-11-06,54.68,54.689999,54.580002,54.619999,54.619999,5372
2019-11-07,54.959999,54.98,54.959999,54.970001,54.970001,2003
2019-11-08,54.849998,54.91,54.849998,54.759998,54.759998,312
2019-11-11,54.790001,54.82,54.75,54.77,54.77,517
2019-11-12,55.0,55.0,55.0,55.130001,55.130001,10
2019-11-13,54.869999,54.869999,54.830002,54.939999,54.939999,11
2019-11-14,55.029999,55.060001,55.029999,55.009998,55.009998,4288
2019-11-15,55.419998,55.419998,55.419998,55.419998,55.419998,0
2019-11-18,55.610001,55.610001,55.48,55.485001,55.485001,233
2019-11-19,55.66,55.990002,55.540001,55.490002,55.490002,211
2019-11-20,55.689999,55.689999,55.349998,55.450001,55.450001,2412
